administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,special_day,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue,avg_adm_duration_per_page,avg_inf_duration_per_page,avg_prod_duration_per_page
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Q1,1,1,4,3,Returning_Visitor,0,0,0.0,0.0,0.0
0,0.0,0,0.0,13,334.96666669999996,0.0,0.007692308,0.0,0.0,Q1,1,1,1,4,Returning_Visitor,1,0,0.0,0.0,25.766666669230766
0,0.0,0,0.0,2,32.0,0.0,0.1,0.0,0.0,Q1,2,2,1,3,Returning_Visitor,0,0,0.0,0.0,16.0
0,0.0,0,0.0,20,2981.166667,0.0,0.01,0.0,0.0,Q1,2,4,4,4,Returning_Visitor,0,0,0.0,0.0,149.05833335
0,0.0,0,0.0,8,136.16666669999998,0.0,0.008333333,0.0,1.0,Q1,2,2,5,1,Returning_Visitor,1,0,0.0,0.0,17.020833337499997
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,Q1,3,3,1,3,Returning_Visitor,0,0,0.0,0.0,0.0
0,0.0,0,0.0,3,105.0,0.0,0.033333333,0.0,0.0,Q1,3,2,1,5,Returning_Visitor,0,0,0.0,0.0,35.0
0,0.0,0,0.0,2,15.0,0.0,0.1,0.0,0.8,Q1,2,4,1,3,Returning_Visitor,0,0,0.0,0.0,7.5
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Q1,2,2,4,1,Returning_Visitor,1,0,0.0,0.0,0.0
0,0.0,0,0.0,5,156.0,0.0,0.04,0.0,0.0,Q1,1,1,9,3,Returning_Visitor,0,0,0.0,0.0,31.2
4,64.6,0,0.0,32,1135.444444,0.002857143,0.00952381,0.0,0.0,Q1,2,2,1,3,Returning_Visitor,0,0,16.15,0.0,35.482638875
0,0.0,0,0.0,4,76.0,0.05,0.1,0.0,0.0,Q1,1,1,1,3,Returning_Visitor,0,0,0.0,0.0,19.0
0,0.0,0,0.0,4,63.0,0.0,0.05,0.0,0.2,Q1,2,6,1,3,Returning_Visitor,0,0,0.0,0.0,15.75
1,6.0,1,0.0,45,1582.75,0.043478261,0.050821255999999995,54.17976426,0.4,Q1,3,2,1,1,Returning_Visitor,0,0,6.0,0.0,35.172222222222224
0,0.0,0,0.0,2,35.0,0.0,0.1,0.0,0.0,Q1,1,1,6,3,Returning_Visitor,0,0,0.0,0.0,17.5
0,0.0,0,0.0,3,78.0,0.0,0.066666667,0.0,0.0,Q1,1,2,6,6,Returning_Visitor,1,0,0.0,0.0,26.0
0,0.0,0,0.0,8,209.5,0.0,0.025,0.0,0.0,Q1,2,2,1,1,Returning_Visitor,0,0,0.0,0.0,26.1875
0,0.0,0,0.0,10,183.66666669999998,0.04,0.08,0.0,0.0,Q1,1,1,3,1,Returning_Visitor,0,0,0.0,0.0,18.366666669999997
0,0.0,0,0.0,14,380.5,0.014285714,0.028571429,0.0,0.0,Q1,2,2,1,1,Returning_Visitor,0,0,0.0,0.0,27.178571428571427
0,0.0,0,0.0,52,2086.242857,0.015384615,0.020352564,0.0,0.0,Q1,2,2,7,1,Returning_Visitor,0,0,0.0,0.0,40.120054942307696
0,0.0,0,0.0,8,388.0,0.025,0.05625,0.0,0.0,Q1,3,2,1,4,Returning_Visitor,1,0,0.0,0.0,48.5
2,18.0,0,0.0,5,298.0,0.0,0.028571429,0.0,0.8,Q1,2,2,8,4,Returning_Visitor,0,0,9.0,0.0,59.6
0,0.0,0,0.0,7,63.0,0.028571429,0.071428571,0.0,0.6,Q1,2,2,1,3,Returning_Visitor,0,0,0.0,0.0,9.0
0,0.0,0,0.0,9,482.0,0.0,0.022222222000000003,0.0,0.0,Q1,2,5,1,6,Returning_Visitor,0,0,0.0,0.0,53.55555555555556
1,9.0,0,0.0,46,4084.393939,0.0,0.001794872,0.0,0.0,Q1,2,2,8,4,Returning_Visitor,0,0,9.0,0.0,88.79117258695652
0,0.0,0,0.0,3,22.0,0.0,0.066666667,0.0,0.6,Q1,1,1,3,2,Returning_Visitor,0,0,0.0,0.0,7.333333333333333
0,0.0,0,0.0,15,310.1666667,0.0,0.006666666999999999,0.0,0.0,Q1,1,1,4,4,Returning_Visitor,0,0,0.0,0.0,20.67777778
0,0.0,0,0.0,2,34.0,0.0,0.05,0.0,0.4,Q1,3,2,2,3,Returning_Visitor,0,0,0.0,0.0,17.0
0,0.0,0,0.0,4,88.0,0.0,0.05,0.0,0.0,Q1,4,1,1,3,Returning_Visitor,0,0,0.0,0.0,22.0
0,0.0,0,0.0,22,622.25,0.003030303,0.006060606,0.0,0.2,Q1,2,5,1,4,Returning_Visitor,0,0,0.0,0.0,28.28409090909091
0,0.0,0,0.0,14,222.4,0.017142857,0.057142857000000005,0.0,0.0,Q1,1,1,1,2,Returning_Visitor,0,0,0.0,0.0,15.885714285714286
0,0.0,0,0.0,3,80.0,0.066666667,0.133333333,0.0,0.2,Q1,3,2,1,3,Returning_Visitor,0,0,0.0,0.0,26.666666666666668
0,0.0,0,0.0,11,800.8333332999999,0.0,0.0036363640000000004,0.0,0.0,Q1,3,2,1,3,Returning_Visitor,0,0,0.0,0.0,72.80303029999999
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,Q1,2,2,3,2,Returning_Visitor,0,0,0.0,0.0,0.0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Q1,1,1,3,4,Returning_Visitor,1,0,0.0,0.0,0.0
0,0.0,0,0.0,12,265.1666667,0.011111111000000002,0.026111111,0.0,0.2,Q1,3,2,1,3,Returning_Visitor,0,0,0.0,0.0,22.097222225
0,0.0,0,0.0,2,29.0,0.0,0.1,0.0,1.0,Q1,2,4,4,2,Returning_Visitor,1,0,0.0,0.0,14.5
0,0.0,0,0.0,4,160.0,0.0,0.075,0.0,0.0,Q1,4,2,2,3,Returning_Visitor,0,0,0.0,0.0,40.0
0,0.0,0,0.0,4,135.66666669999998,0.05,0.025,0.0,0.4,Q1,3,3,1,4,Returning_Visitor,0,0,0.0,0.0,33.916666674999995
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.2,Q1,2,4,1,3,Returning_Visitor,0,0,0.0,0.0,0.0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,Q1,3,2,3,3,Returning_Visitor,0,0,0.0,0.0,0.0
4,56.0,2,120.0,36,998.7416667000001,0.0,0.014736467,19.44707913,0.2,Q1,2,2,4,1,Returning_Visitor,0,0,14.0,60.0,27.742824075
0,0.0,0,0.0,4,104.0,0.0,0.05,0.0,0.4,Q1,2,6,6,3,Returning_Visitor,0,0,0.0,0.0,26.0
2,16.0,0,0.0,16,381.6865079,0.011764706000000002,0.046568627,0.0,0.6,Q1,2,4,2,1,Returning_Visitor,0,0,8.0,0.0,23.85540674375
0,0.0,0,0.0,6,169.0,0.0,0.016666667,0.0,0.4,Q1,1,1,3,3,Returning_Visitor,0,0,0.0,0.0,28.166666666666668
0,0.0,0,0.0,8,400.8,0.05,0.120833333,0.0,0.0,Q1,1,1,1,3,Returning_Visitor,0,0,0.0,0.0,50.1
12,279.4166667,0,0.0,42,1553.583333,0.009000000000000001,0.019666667,38.30849268,0.0,Q1,1,1,3,2,Returning_Visitor,0,0,23.284722225,0.0,36.99007935714286
0,0.0,0,0.0,14,706.5,0.0,0.007142857,0.0,0.0,Q1,2,2,5,4,Returning_Visitor,1,0,0.0,0.0,50.464285714285715
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Q1,2,2,4,3,Returning_Visitor,0,0,0.0,0.0,0.0
3,87.83333333,0,0.0,27,798.3333332999999,0.0,0.012643678,22.9160357,0.8,Q1,2,2,3,1,Returning_Visitor,0,1,29.277777776666667,0.0,29.56790123333333
4,44.0,0,0.0,90,6951.972222,0.002150538,0.015013034,0.0,0.0,Q1,4,1,1,3,Returning_Visitor,0,0,11.0,0.0,77.24413580000001
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,Q1,2,2,5,1,Returning_Visitor,0,0,0.0,0.0,0.0
0,0.0,0,0.0,18,902.0,0.0,0.0074074069999999995,0.0,0.0,Q1,2,7,2,4,Returning_Visitor,0,0,0.0,0.0,50.111111111111114
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.2,Q1,3,2,3,3,Returning_Visitor,0,0,0.0,0.0,0.0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Q1,2,6,1,2,Returning_Visitor,0,0,0.0,0.0,0.0
0,0.0,0,0.0,20,197.37777780000002,0.025,0.0525,0.0,0.0,Q1,2,6,6,1,Returning_Visitor,0,0,0.0,0.0,9.868888890000001
0,0.0,0,0.0,2,43.0,0.0,0.1,0.0,0.4,Q1,2,2,3,3,Returning_Visitor,0,0,0.0,0.0,21.5
0,0.0,0,0.0,8,426.66666669999995,0.0,0.0125,0.0,0.0,Q1,2,4,3,2,Returning_Visitor,0,0,0.0,0.0,53.333333337499994
0,0.0,0,0.0,3,135.0,0.0,0.066666667,0.0,0.0,Q1,2,4,3,3,Returning_Visitor,0,0,0.0,0.0,45.0
0,0.0,0,0.0,16,588.3333332999999,0.0,0.025,0.0,0.0,Q1,2,4,1,1,Returning_Visitor,0,0,0.0,0.0,36.770833331249996
10,1005.666667,0,0.0,36,2111.341667,0.004347826,0.014492753999999998,11.43941195,0.0,Q1,2,6,1,2,Returning_Visitor,0,1,100.5666667,0.0,58.64837963888889
0,0.0,0,0.0,2,76.0,0.0,0.05,0.0,0.6,Q1,3,2,3,3,Returning_Visitor,0,0,0.0,0.0,38.0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,1.0,Q1,1,1,1,3,Returning_Visitor,1,0,0.0,0.0,0.0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,Q1,1,1,1,3,Returning_Visitor,0,0,0.0,0.0,0.0
0,0.0,0,0.0,7,208.0,0.0,0.028571429,0.0,0.0,Q1,4,1,1,5,Returning_Visitor,1,0,0.0,0.0,29.714285714285715
0,0.0,0,0.0,4,270.0,0.0,0.016666667,0.0,0.8,Q1,1,1,1,3,Returning_Visitor,0,0,0.0,0.0,67.5
0,0.0,0,0.0,6,39.5,0.0,0.02,0.0,0.0,Q1,2,2,1,3,Returning_Visitor,0,0,0.0,0.0,6.583333333333333
0,0.0,0,0.0,12,375.0,0.016666667,0.058333333,0.0,0.0,Q1,3,2,4,1,Returning_Visitor,0,0,0.0,0.0,31.25
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.8,Q1,2,2,2,1,Returning_Visitor,1,0,0.0,0.0,0.0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Q1,1,1,1,3,Returning_Visitor,0,0,0.0,0.0,0.0
0,0.0,0,0.0,7,150.0,0.057142857000000005,0.085714286,0.0,0.0,Q1,2,2,2,1,Returning_Visitor,0,0,0.0,0.0,21.428571428571427
0,0.0,0,0.0,3,138.0,0.0,0.066666667,0.0,0.0,Q1,1,1,1,3,Returning_Visitor,0,0,0.0,0.0,46.0
0,0.0,0,0.0,7,337.5,0.028571429,0.023809524,0.0,0.4,Q1,4,1,3,3,Returning_Visitor,0,0,0.0,0.0,48.214285714285715
0,0.0,0,0.0,19,620.0333333,0.0,0.007894736999999999,0.0,0.0,Q1,1,1,4,2,Returning_Visitor,0,0,0.0,0.0,32.633333331578946
2,36.0,0,0.0,15,168.84615380000002,0.0,0.011764706000000002,0.0,0.4,Q1,1,1,1,3,Returning_Visitor,0,0,18.0,0.0,11.256410253333335
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Q1,1,1,1,2,Returning_Visitor,1,0,0.0,0.0,0.0
0,0.0,0,0.0,2,52.0,0.0,0.1,0.0,0.0,Q1,1,1,1,3,Returning_Visitor,0,0,0.0,0.0,26.0
0,0.0,0,0.0,13,649.25,0.0,0.015384615,0.0,0.0,Q1,2,2,1,5,New_Visitor,0,0,0.0,0.0,49.94230769230769
0,0.0,0,0.0,27,925.3333332999998,0.0037037040000000004,0.025925926000000002,0.0,0.6,Q1,4,1,3,3,Returning_Visitor,0,0,0.0,0.0,34.27160493703703
0,0.0,0,0.0,2,33.0,0.0,0.1,0.0,0.2,Q1,1,1,1,3,Returning_Visitor,0,0,0.0,0.0,16.5
0,0.0,0,0.0,6,1566.5,0.05,0.066666667,0.0,0.2,Q1,1,1,1,3,Returning_Visitor,0,0,0.0,0.0,261.0833333333333
0,0.0,0,0.0,4,105.0,0.0,0.025,0.0,0.6,Q1,1,1,1,4,Returning_Visitor,0,0,0.0,0.0,26.25
0,0.0,1,0.0,7,50.0,0.038095238,0.08095238099999999,0.0,0.6,Q1,2,4,1,7,Returning_Visitor,0,0,0.0,0.0,7.142857142857143
0,0.0,0,0.0,16,644.2,0.004166667,0.031666667,0.0,0.0,Q1,3,2,3,4,Returning_Visitor,0,0,0.0,0.0,40.2625
3,18.33333333,0,0.0,38,2635.177778,0.0,0.008947368,0.0,0.4,Q1,2,4,1,2,Returning_Visitor,0,0,6.1111111099999995,0.0,69.34678363157896
4,61.0,0,0.0,19,607.0,0.0,0.026984127000000004,17.53595893,1.0,Q1,1,1,7,4,Returning_Visitor,1,1,15.25,0.0,31.94736842105263
0,0.0,0,0.0,6,415.0,0.0,0.033333333,0.0,0.4,Q1,1,1,3,2,Returning_Visitor,0,0,0.0,0.0,69.16666666666667
2,31.0,1,16.0,36,2083.530952,0.0,0.01351025,0.0,0.8,Q1,2,2,4,3,Returning_Visitor,0,0,15.5,16.0,57.87585977777778
3,58.5,0,0.0,17,281.6666667,0.007058824,0.017647059,0.0,0.0,Q1,1,1,3,4,Returning_Visitor,0,0,19.5,0.0,16.568627452941175
0,0.0,0,0.0,2,27.0,0.15,0.15,0.0,0.0,Q1,1,1,7,2,Returning_Visitor,0,0,0.0,0.0,13.5
0,0.0,1,0.0,9,215.0,0.04444444400000001,0.074074074,0.0,0.8,Q1,4,1,1,3,Returning_Visitor,0,0,0.0,0.0,23.88888888888889
0,0.0,0,0.0,12,162.0,0.05,0.066666667,0.0,0.0,Q1,1,1,1,3,Returning_Visitor,0,0,0.0,0.0,13.5
0,0.0,0,0.0,2,114.0,0.05,0.066666667,0.0,0.8,Q1,3,3,1,3,Returning_Visitor,0,0,0.0,0.0,57.0
6,326.25,4,94.0,128,5062.213753,0.000854701,0.01791847,0.0,0.0,Q1,2,5,1,3,Returning_Visitor,0,0,54.375,23.5,39.5485449453125
0,0.0,0,0.0,4,253.0,0.0,0.016666667,0.0,0.6,Q1,2,2,3,3,Returning_Visitor,0,0,0.0,0.0,63.25
0,0.0,0,0.0,4,0.0,0.2,0.2,0.0,0.4,Q1,2,2,1,3,Returning_Visitor,0,0,0.0,0.0,0.0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.8,Q1,1,1,2,3,Returning_Visitor,0,0,0.0,0.0,0.0
2,22.0,0,0.0,25,436.5,0.008,0.024,0.0,0.2,Q1,2,4,1,1,Returning_Visitor,0,0,11.0,0.0,17.46
0,0.0,1,93.0,30,1045.833333,0.012903226,0.035483871,0.0,0.2,Q1,1,1,1,3,Returning_Visitor,0,0,0.0,93.0,34.8611111
0,0.0,0,0.0,12,317.8333333,0.0,0.005555556,0.0,0.0,Q1,1,1,1,4,Returning_Visitor,1,0,0.0,0.0,26.486111108333333
0,0.0,0,0.0,21,1146.333333,0.0,0.012962963000000001,0.0,0.8,Q1,3,2,1,3,Returning_Visitor,0,0,0.0,0.0,54.587301571428576
0,0.0,0,0.0,11,577.0,0.018181818,0.027272727000000004,0.0,0.2,Q1,2,2,3,1,Returning_Visitor,0,0,0.0,0.0,52.45454545454545
0,0.0,0,0.0,8,95.0,0.0,0.075,0.0,0.0,Q1,4,1,3,3,Returning_Visitor,0,0,0.0,0.0,11.875
0,0.0,0,0.0,6,301.5,0.0,0.111111111,0.0,0.0,Q1,2,4,9,3,Returning_Visitor,0,0,0.0,0.0,50.25
0,0.0,0,0.0,6,243.0,0.0,0.033333333,0.0,0.0,Q1,2,4,4,1,Returning_Visitor,0,0,0.0,0.0,40.5
0,0.0,0,0.0,4,135.5,0.0,0.05,0.0,0.6,Q1,2,2,1,2,Returning_Visitor,0,0,0.0,0.0,33.875
0,0.0,2,75.0,14,442.33333330000005,0.0,0.034375,0.0,0.8,Q1,1,1,3,3,Returning_Visitor,0,0,0.0,37.5,31.595238092857148
0,0.0,0,0.0,3,41.0,0.0,0.066666667,0.0,0.0,Q1,1,1,3,3,Returning_Visitor,0,0,0.0,0.0,13.666666666666666
0,0.0,0,0.0,11,292.9,0.027999999999999997,0.11952381,0.0,0.0,Q1,2,4,3,1,Returning_Visitor,0,0,0.0,0.0,26.627272727272725
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Q1,1,1,3,3,Returning_Visitor,0,0,0.0,0.0,0.0
0,0.0,0,0.0,9,1238.333333,0.0,0.040740741000000004,0.0,0.4,Q1,2,2,1,3,Returning_Visitor,0,0,0.0,0.0,137.59259255555557
0,0.0,0,0.0,10,225.4666667,0.0,0.05,0.0,0.4,Q1,1,1,8,3,Returning_Visitor,0,0,0.0,0.0,22.54666667
4,462.0,0,0.0,51,1873.2166670000001,0.0,0.00754717,0.0,0.6,Q1,2,2,9,3,Returning_Visitor,0,0,115.5,0.0,36.729738568627454
0,0.0,0,0.0,3,13.0,0.133333333,0.166666667,0.0,0.0,Q1,2,4,1,1,Returning_Visitor,0,0,0.0,0.0,4.333333333333333
0,0.0,0,0.0,2,222.0,0.0,0.1,0.0,0.0,Q1,2,6,1,2,Returning_Visitor,1,0,0.0,0.0,111.0
2,20.0,0,0.0,16,214.83333330000002,0.0,0.022222222000000003,0.0,0.0,Q1,2,2,1,6,Returning_Visitor,0,0,10.0,0.0,13.427083331250001
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Q1,3,2,3,3,Returning_Visitor,0,0,0.0,0.0,0.0
0,0.0,0,0.0,6,2017.1666670000002,0.0,0.011111111000000002,0.0,0.8,Q1,2,2,4,3,Returning_Visitor,0,0,0.0,0.0,336.19444450000003
6,111.5,0,0.0,26,449.02777779999997,0.0,0.018518519,0.0,0.6,Q1,1,1,3,3,Returning_Visitor,0,0,18.583333333333332,0.0,17.270299146153846
0,0.0,0,0.0,6,158.16666669999998,0.0,0.033333333,0.0,0.0,Q1,3,2,4,2,Returning_Visitor,0,0,0.0,0.0,26.361111116666663
0,0.0,0,0.0,9,303.6666667,0.005555556,0.046296295999999994,0.0,0.0,Q1,2,4,5,2,Returning_Visitor,0,0,0.0,0.0,33.740740744444444
0,0.0,0,0.0,3,25.0,0.0,0.066666667,0.0,0.0,Q1,2,4,1,5,Returning_Visitor,0,0,0.0,0.0,8.333333333333334
0,0.0,0,0.0,2,42.0,0.05,0.15,0.0,0.4,Q1,2,2,1,4,Returning_Visitor,0,0,0.0,0.0,21.0
4,103.625,0,0.0,14,1003.416667,0.0,0.018039216,0.0,0.2,Q1,1,1,3,3,Returning_Visitor,0,0,25.90625,0.0,71.67261907142857
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Q1,2,2,7,3,Returning_Visitor,0,0,0.0,0.0,0.0
0,0.0,0,0.0,9,272.5,0.0,0.011851852,0.0,0.2,Q1,1,1,6,3,Returning_Visitor,0,0,0.0,0.0,30.27777777777778
3,19.0,0,0.0,8,344.0,0.0,0.0074074069999999995,0.0,0.0,Q1,2,4,2,3,Returning_Visitor,0,0,6.333333333333333,0.0,43.0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Q1,2,2,2,3,Returning_Visitor,0,0,0.0,0.0,0.0
0,0.0,1,19.0,10,852.0,0.0,0.009090909,0.0,0.0,Q1,2,2,3,6,Returning_Visitor,0,0,0.0,19.0,85.2
0,0.0,0,0.0,3,780.0,0.066666667,0.066666667,0.0,0.4,Q1,2,4,1,3,Returning_Visitor,0,0,0.0,0.0,260.0
0,0.0,0,0.0,3,1038.0,0.0,0.033333333,0.0,0.0,Q1,2,2,1,1,Returning_Visitor,0,0,0.0,0.0,346.0
0,0.0,0,0.0,4,573.0,0.0,0.05,0.0,0.0,Q1,2,2,3,3,Returning_Visitor,0,0,0.0,0.0,143.25
0,0.0,0,0.0,28,1231.233333,0.007142857,0.030357143,0.0,0.0,Q1,1,1,4,3,Returning_Visitor,0,0,0.0,0.0,43.97261903571428
0,0.0,0,0.0,11,316.6666667,0.0,0.027272727000000004,0.0,0.8,Q1,2,2,2,1,Returning_Visitor,0,0,0.0,0.0,28.78787879090909
0,0.0,0,0.0,20,873.7365079,0.0075,0.028166667000000003,0.0,0.0,Q1,1,2,1,1,Returning_Visitor,0,0,0.0,0.0,43.686825395
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,Q1,2,2,3,4,Returning_Visitor,0,0,0.0,0.0,0.0
0,0.0,0,0.0,4,16.0,0.1,0.15,0.0,0.0,Q1,2,5,5,1,Returning_Visitor,0,0,0.0,0.0,4.0
0,0.0,0,0.0,19,615.0,0.0,0.026315789,0.0,0.2,Q1,2,2,3,3,Returning_Visitor,0,0,0.0,0.0,32.36842105263158
0,0.0,0,0.0,9,261.75,0.0,0.026666667,0.0,0.0,Q1,2,6,1,1,Returning_Visitor,0,0,0.0,0.0,29.083333333333332
0,0.0,0,0.0,21,615.8831169,0.033333333,0.04993081,0.0,0.0,Q1,3,2,2,1,Returning_Visitor,1,0,0.0,0.0,29.327767471428572
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Q1,3,3,3,2,Returning_Visitor,1,0,0.0,0.0,0.0
0,0.0,0,0.0,6,117.5,0.0,0.033333333,0.0,0.8,Q1,1,1,1,3,Returning_Visitor,1,0,0.0,0.0,19.583333333333332
0,0.0,0,0.0,23,501.66666669999995,0.008695652,0.01884058,0.0,0.6,Q1,1,1,4,2,Returning_Visitor,0,0,0.0,0.0,21.811594204347823
2,58.0,2,22.0,31,829.1666667000001,0.03030303,0.040606061,0.0,0.0,Q1,1,1,1,1,Returning_Visitor,1,0,29.0,11.0,26.74731182903226
1,9.5,0,0.0,23,1223.0,0.015217391,0.012463768,0.0,0.0,Q1,1,1,1,2,Returning_Visitor,1,0,9.5,0.0,53.17391304347826
0,0.0,0,0.0,6,467.0,0.0,0.016666667,0.0,0.4,Q1,1,1,3,3,Returning_Visitor,0,0,0.0,0.0,77.83333333333333
0,0.0,0,0.0,23,737.1666667000001,0.008695652,0.011594203,0.0,0.6,Q1,2,2,1,3,Returning_Visitor,0,0,0.0,0.0,32.050724639130436
0,0.0,0,0.0,12,129.0,0.0,0.033333333,0.0,0.0,Q1,1,1,3,2,Returning_Visitor,0,0,0.0,0.0,10.75
0,0.0,0,0.0,5,63.0,0.0,0.04,0.0,0.0,Q1,2,2,1,3,Returning_Visitor,0,0,0.0,0.0,12.6
0,0.0,0,0.0,5,125.0,0.08666666699999999,0.166666667,0.0,0.0,Q1,2,2,1,3,Returning_Visitor,0,0,0.0,0.0,25.0
0,0.0,0,0.0,11,684.3333332999999,0.018181818,0.063636364,0.0,0.0,Q1,2,4,6,1,Returning_Visitor,0,0,0.0,0.0,62.2121212090909
0,0.0,0,0.0,20,665.4722222,0.0,0.0145,0.0,0.8,Q1,3,2,7,4,Returning_Visitor,1,0,0.0,0.0,33.273611110000004
1,0.0,0,0.0,15,487.5,0.0,0.019166667,0.0,0.8,Q1,1,1,2,4,Returning_Visitor,1,0,0.0,0.0,32.5
0,0.0,0,0.0,17,437.16666669999995,0.011111111000000002,0.033333333,0.0,0.0,Q1,2,4,1,3,Returning_Visitor,0,0,0.0,0.0,25.715686276470585
0,0.0,0,0.0,3,55.0,0.066666667,0.1,0.0,0.6,Q1,1,1,1,3,Returning_Visitor,0,0,0.0,0.0,18.333333333333332
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.8,Q1,1,1,1,2,Returning_Visitor,1,0,0.0,0.0,0.0
5,41.3,0,0.0,24,446.9277778,0.0,0.008602151,0.0,1.0,Q1,2,2,8,1,Returning_Visitor,1,0,8.26,0.0,18.621990741666668
3,87.0,0,0.0,10,320.5,0.0,0.015384615,0.0,0.0,Q1,1,1,2,3,Returning_Visitor,0,0,29.0,0.0,32.05
0,0.0,0,0.0,7,666.0,0.0,0.014285714,0.0,0.0,Q1,1,1,6,2,Returning_Visitor,0,0,0.0,0.0,95.14285714285714
1,0.0,0,0.0,21,405.7095238,0.010743802,0.047002635,0.0,0.0,Q1,1,1,1,4,Returning_Visitor,0,0,0.0,0.0,19.319501133333333
0,0.0,0,0.0,6,163.25,0.033333333,0.033333333,0.0,0.6,Q1,1,1,6,2,Returning_Visitor,0,0,0.0,0.0,27.208333333333332
0,0.0,0,0.0,17,284.25,0.0,0.011764706000000002,0.0,0.0,Q1,3,2,6,2,Returning_Visitor,1,0,0.0,0.0,16.720588235294116
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,Q1,4,2,1,3,Returning_Visitor,0,0,0.0,0.0,0.0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Q1,2,4,1,1,Returning_Visitor,0,0,0.0,0.0,0.0
